procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0      0 178716  17968 327036    0    0     0     0  460  584  2  2 96  0
 0  0      0 178716  17976 327040    0    0     0    16  444  551  0  1 99  0
 0  0      0 178716  17976 327040    0    0     0     0  445  577  1  1 98  0
 0  0      0 178716  17976 327040    0    0     0     0  435  554  2  0 98  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 178716  17976 327040    0    0     0     0  446  575  2  0 98  0
 0  0      0 178716  17976 327040    0    0     0     0  445  560  1  1 98  0
 0  0      0 178716  17976 327040    0    0     0     0  461  587  1  2 97  0
 0  0      0 178716  17984 327040    0    0     0    12  448  551  1  2 96  1
 0  0      0 178716  17984 327040    0    0     0     0  449  575  2  1 97  0
 0  0      0 178716  17984 327040    0    0     0     0  452  567  2  1 96  0
 0  0      0 178716  17984 327040    0    0     0     0  441  555  1  0 99  0
 0  0      0 178716  17984 327040    0    0     0     0  456  572  2  1 97  0
 1  0      0 178716  17984 327040    0    0     0     0  452  579  1  1 98  0
 0  0      0 178716  17992 327040    0    0     0    12  447  567  1  1 97  1
 0  0      0 178716  17992 327040    0    0     0     0  437  552  3  2 95  0
 0  0      0 178716  17992 327040    0    0     0     0  431  577  2  2 96  0
 1  0      0 178716  17992 327040    0    0     0     0  443  555  1  1 98  0
 0  0      0 178716  17992 327040    0    0     0     0  433  587  2  1 97  0
 0  0      0 178716  17992 327040    0    0     0     0  435  539  0  1 99  0
 0  0      0 178716  18000 327040    0    0     0    12  443  573  2  1 97  0
 0  0      0 178716  18000 327040    0    0     0     0  458  571  2  0 98  0
 0  0      0 178716  18000 327040    0    0     0     0  442  579  1  0 99  0
 0  0      0 178716  18000 327040    0    0     0     0  448  550  2  2 96  0
 0  0      0 178716  18000 327040    0    0     0     0  448  582  1  0 99  0
 0  0      0 178716  18000 327040    0    0     0     0  433  562  2  1 97  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 178716  18008 327040    0    0     0    12  449  582  1  1 98  0
 0  0      0 178716  18008 327040    0    0     0     0  439  556  3  1 96  0
 0  0      0 178716  18008 327040    0    0     0     4  440  562  2  1 96  0
 0  0      0 178220  18008 327040    0    0     0     0  460  595  1  1 98  0
 0  0      0 178220  18008 327040    0    0     0     0  450  569  2  1 97  0
 0  0      0 178220  18008 327040    0    0     0     0  444  549  3  1 96  0
 0  0      0 178220  18016 327040    0    0     0    56  458  584  1  2 96  1
 0  0      0 178220  18016 327040    0    0     0    32  453  556  2  1 97  0
 0  0      0 178220  18016 327040    0    0     0     0  439  581  2  1 97  0
 0  0      0 178220  18016 327040    0    0     0     0  434  560  1  1 98  0
 0  0      0 178220  18016 327040    0    0     0     0  418  532  1  0 99  0
 0  0      0 178220  18016 327040    0    0     0     0  438  551  3  2 95  0
 0  0      0 178220  18024 327040    0    0     0    16  439  562  2  2 95  1
 1  0      0 178220  18024 327040    0    0     0     0  428  563  2  1 97  0
 0  0      0 178220  18024 327040    0    0     0     0  434  570  3  1 95  0
 0  0      0 178220  18024 327040    0    0     0     0  428  537  3  2 95  0
 0  0      0 178220  18024 327040    0    0     0     0  435  550  3  0 97  0
 0  0      0 178220  18024 327040    0    0     0     0  432  547  4  1 95  0
 0  0      0 178220  18032 327040    0    0     0    16  445  567  3  1 96  0
 1  0      0 178220  18032 327040    0    0     0     0  441  553  3  0 97  0
 0  0      0 178220  18032 327040    0    0     0     0  423  548  2  2 96  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 178220  18032 327040    0    0     0     0  433  548  4  1 95  0
 0  0      0 178220  18032 327040    0    0     0     0  408  539  2  1 97  0
 0  0      0 178220  18032 327044    0    0     0     0  438  561  3  2 95  0
 0  0      0 178220  18040 327044    0    0     0    16  431  553  3  2 94  1
 0  0      0 178220  18040 327044    0    0     0     0  438  544  4  0 96  0
 0  0      0 178220  18040 327044    0    0     0     0  449  569  2  2 96  0
 0  0      0 178220  18040 327044    0    0     0     0  426  554  3  1 96  0
 0  0      0 178220  18040 327044    0    0     0     0  446  561  4  2 94  0
 0  0      0 178220  18040 327044    0    0     0     0  427  553  3  1 96  0
 0  0      0 178220  18048 327044    0    0     0    12  439  555  2  0 98  0
 0  0      0 178220  18048 327044    0    0     0     0  438  558  1  0 99  0
 0  0      0 178220  18048 327044    0    0     0     0  451  565  3  2 94  0
